14447,1
17141,8
20787,2
12493,8
14968,7
16912,5
9732,1
16470,7
18967,5
15095,7
17020,8
8215,5
10313,20
10939,3
465,4
14796,16
10433,6
14214,7
7196,5
13570,10
8162,5
13966,10
16988,7
9266,9
5265,13
57,22
17919,3
14076,10
22645,8
11305,7
9993,6
16769,7
22540,8
10055,3
21985,8
12110,6
17746,8
283,6
13677,7
21958,8
7963,17
14876,7
7406,3
2019,1
12372,10
8141,6
21506,8
2835,20
17477,8
874,2
16424,16
12687,4
15255,16
22528,8
3358,18
22604,11
21291,7
11993,2
10318,1
22319,8
15375,7
14949,7
8155,6
7951,3
3971,5
14223,7
16214,22
20817,8
17007,8
10110,6
6533,20
10627,8
11425,11
15895,21
11616,6
16692,5
4252,10
8825,5
8773,1
8626,11
22790,8
15844,3
12475,16
17398,8
3082,22
5605,2
16591,2
11060,3
13224,7
19160,8
16738,5
21913,8
1247,6
472,9
150,5
5117,5
22853,8
1553,10
8143,13
2360,8
19068,3
11888,2
20016,2
20873,8
10003,16
2293,11
22732,8
4842,5
11524,6
11949,7
4276,4
19385,8
6157,9
2507,1
9497,9
18626,11
16647,8
2919,10
12230,11
15290,11
3721,8
8856,21
3193,3
4934,3
2033,20
11520,7
955,2
4688,1
1280,9
4804,8
6216,11
3702,4
2697,5
15222,5
8981,7
1354,9
12539,22
6209,8
228,1
18664,11
18200,3
1796,3
19529,3
20460,8
2028,16
13791,21
3697,3
1145,3
13902,7
2021,4
13088,1
22620,8
15876,22
5706,6
19527,15
437,1
2670,2
2564,3
10688,9
4611,3
11878,7
3023,8
18965,8
12059,7
11062,8
18769,3
379,11
19426,10
21871,8
5785,1
2277,3
18164,8
8663,10
277,8
16075,2
8138,2
9646,4
9814,1
15260,7
1917,3
18680,20
8648,16
21910,2
19673,8
21751,15
6266,2
17910,8
8668,10
12922,10
13348,6
19587,11
497,3
4902,6
18657,8
16407,7
14373,2
6197,3
21797,8
14098,7
6393,5
2103,22
9165,18
1277,20
9387,1
3577,3
5989,23
1007,5
9486,1
18155,8
14590,7
11039,3
7418,16
10666,20
16201,7
11248,3
135,4
8272,20
21811,8
19439,8
17707,1
